idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
16,Espresso,AND,3,4,8,11,90,9.0,1.0,0,53
16,JBool,AND,3,4,8,10,89,10.0,1.0,0,1
17,Naïve,AND,4,5,10,11,110,9.0,5.0,0,0
17,OnlySelec,AND,4,5,10,11,114,9.0,1.0,0,0
17,ATGT,AND,4,5,10,11,114,9.0,1.0,0,1122
17,Espresso,AND,4,4,9,13,109,11.0,1.0,0,64
17,JBool,AND,4,4,9,11,107,11.0,1.0,0,1
18,Naïve,AND,3,5,9,9,100,7.0,4.0,0,0
18,OnlySelec,AND,3,5,9,9,102,7.0,1.0,1,0
18,ATGT,AND,3,5,9,9,102,7.0,1.0,1,1154
